0.911	0.067	0.023
0.891	0.089	0.019
0.044	0.931	0.025
0.919	0.058	0.023
0.099	0.879	0.022
0.858	0.126	0.016
0.239	0.734	0.026
0.170	0.791	0.040
0.075	0.897	0.028
0.052	0.934	0.014
0.365	0.617	0.018
0.068	0.914	0.018
0.073	0.868	0.059
0.738	0.227	0.035
0.444	0.526	0.030
0.045	0.836	0.119
0.179	0.745	0.076
0.028	0.959	0.013
0.380	0.566	0.054
0.136	0.829	0.035
0.045	0.941	0.013
0.023	0.962	0.015
0.764	0.209	0.026
0.876	0.053	0.072
0.096	0.813	0.091
0.037	0.934	0.029
0.375	0.504	0.120
0.679	0.276	0.045
0.035	0.776	0.190
0.197	0.387	0.415
0.323	0.325	0.352
0.875	0.038	0.087
0.685	0.294	0.021
0.779	0.207	0.013
0.208	0.741	0.050
0.283	0.621	0.096
0.131	0.475	0.394
0.880	0.070	0.050
0.715	0.184	0.100
0.293	0.688	0.019
0.021	0.961	0.018
0.712	0.262	0.026
0.710	0.268	0.022
0.087	0.892	0.021
0.836	0.091	0.073
0.123	0.863	0.015
0.115	0.873	0.012
0.204	0.501	0.296
0.834	0.118	0.047
0.795	0.182	0.023
0.204	0.735	0.061
0.527	0.382	0.092
0.125	0.779	0.097
0.170	0.742	0.088
0.329	0.649	0.022
0.393	0.459	0.148
0.071	0.779	0.149
0.231	0.531	0.238
0.507	0.350	0.143
0.106	0.858	0.036
0.272	0.671	0.057
0.245	0.183	0.573
0.545	0.282	0.173
0.674	0.294	0.032
0.936	0.044	0.019
0.799	0.109	0.092
0.840	0.093	0.067
0.847	0.107	0.046
0.597	0.165	0.238
0.128	0.813	0.059
0.525	0.452	0.023
0.179	0.807	0.014
0.949	0.037	0.014
0.597	0.340	0.063
0.861	0.112	0.027
0.932	0.028	0.041
0.722	0.221	0.057
0.155	0.826	0.019
0.677	0.305	0.018
0.878	0.037	0.085
0.686	0.252	0.062
0.050	0.123	0.827
0.187	0.203	0.610
0.675	0.292	0.033
0.131	0.481	0.388
0.499	0.402	0.099
0.966	0.017	0.017
0.305	0.420	0.275
0.785	0.076	0.138
0.763	0.226	0.012
0.763	0.203	0.034
0.949	0.040	0.011
0.817	0.104	0.079
0.024	0.946	0.030
0.149	0.095	0.756
0.075	0.851	0.073
0.209	0.680	0.110
0.055	0.471	0.474
0.028	0.774	0.199
0.103	0.252	0.645
0.135	0.743	0.122
0.074	0.908	0.018
0.045	0.921	0.034
0.386	0.205	0.408
0.382	0.241	0.377
0.891	0.044	0.065
0.265	0.223	0.512
0.031	0.030	0.939
0.051	0.034	0.914
0.018	0.040	0.941
0.023	0.034	0.943
0.143	0.256	0.601
0.036	0.029	0.935
0.105	0.116	0.779
0.109	0.032	0.859
0.020	0.017	0.962
0.027	0.024	0.950
0.017	0.024	0.959
0.017	0.019	0.964
0.041	0.033	0.926
0.050	0.044	0.906
0.011	0.011	0.977
0.024	0.030	0.946
0.024	0.013	0.963
0.019	0.018	0.963
0.026	0.038	0.937
0.016	0.019	0.966
0.094	0.054	0.853
0.066	0.088	0.846
0.110	0.035	0.855
0.036	0.027	0.937
0.026	0.024	0.950
0.026	0.025	0.950
0.031	0.033	0.936
0.055	0.031	0.914
0.064	0.021	0.915
0.021	0.018	0.961
0.057	0.021	0.922
0.047	0.031	0.923
0.030	0.022	0.948
0.029	0.045	0.927
0.020	0.015	0.965
0.022	0.018	0.960
0.013	0.021	0.966
0.028	0.080	0.892
0.057	0.060	0.883
0.033	0.077	0.890
0.019	0.011	0.970
0.021	0.022	0.957
