Q1	Q2	Q3
0.4677	0.029	0.5033
0.6682	0.3288	0.003
0.7057	0	0.2943
0.642	0.356	0.002
0.5793	0.1449	0.2758
0.6418	0.3562	0.002
0	0.1114	0.8886
0.745	0.253	0.002
0.5768	0.4175	0.0057
0.5478	0.0183	0.4339
0.301	0.697	0.002
0.923	0	0.077
0.795	0.0327	0.1723
0	0	1
0.586	0.259	0.155
0.038	0.023	0.939
0.127	0.08	0.793
0.158	0	0.842
0.6608	0.1516	0.1876
0.3609	0.0353	0.6038
0.8434	0.0976	0.059
0.5155	0.018	0.4665
0.6924	0.0926	0.2149
0.554	0.072	0.374
0.6657	0.261	0.0733
0.6803	0.076	0.2437
0.687	0.082	0.231
0.832	0.001	0.167
0.561	0.053	0.386
0.5386	0.1596	0.3018
0.572	0.195	0.233
0.248	0.001	0.751
0.6095	0.017	0.3735
0.9363	0.0627	0.001
0.22	0.2	0.58
0.5125	0.2058	0.2817
0.423	0.102	0.475
0.5729	0.4271	0
0.3651	0.0757	0.5592
0.651	0.218	0.131
0.448	0.116	0.436
0.6878	0.2909	0.0213
0.079	0.074	0.8469
0.6346	0.3644	0.001
0.278	0.002	0.72
0.5515	0.4459	0.0027
0.041	0.003	0.956
0.542	0.457	0.001
0.7314	0.2389	0.0297
0.1199	0.8791	0.001
0.7354	0.2376	0.027
0.558	0.44	0.002
0	0.083	0.917
0.3825	0.6165	0.001
0.7199	0	0.2801
0.073	0.9263	0.0007
0.5038	0.4952	0.001
0.0153	0	0.9847
0.417	0.001	0.582
0.0363	0	0.9637
0.473	0.346	0.181
0.301	0.0517	0.6473
0.4667	0.324	0.2093
0	0	1
0.5759	0.061	0.3631
0.4361	0.0027	0.5612
0.5934	0.4056	0.001
0	0	1
0.5137	0.073	0.4133
0.3759	0.0063	0.6178
0.5649	0.0407	0.3945
0.3822	0.6168	0.001
0.2609	0.5598	0.1793
0.66	0.039	0.301
0.272	0.12	0.608
0.6425	0.0457	0.3119
0.3184	0.4471	0.2344
0.1929	0.0846	0.7224
0.4922	0.004	0.5038
0.567	0.432	0.001
0.018	0.007	0.975
0.523	0.476	0.001
0.3388	0.2075	0.4537
0.528	0.471	0.001
0.013	0.4	0.587
0.48	0.518	0.002
0	0	1
0.0903	0.9087	0.001
0.6873	0.0103	0.3023
0.8437	0.0963	0.06
0	0.0847	0.9153
0.7211	0.2749	0.004
0.7262	0.2258	0.048
0.3786	0.6214	0
0	0	1
0.097	0.903	0
0.058	0	0.942
0.658	0.34	0.002
0.6425	0.1979	0.1596
0.543	0.457	0
0	0.999	0.001
0.659	0.339	0.002
0.5273	0.459	0.0137
0.024	0.773	0.203
0.749	0.144	0.107
0.6712	0.1977	0.131
0.4532	0.13	0.4168
0.5438	0.4465	0.0097
0.5285	0.096	0.3755
0.5751	0.4229	0.002
0.3372	0.4306	0.2322
0.5684	0	0.4316
0.5774	0.2091	0.2135
0.7567	0.141	0.1023
0.7671	0.001	0.2319
0.5057	0.002	0.4923
0.602	0.172	0.226
0.5462	0.1941	0.2598
0.744	0.0567	0.1993
0.864	0.038	0.098
0.6588	0.133	0.2083
0.3169	0.6468	0.0363
0.7686	0.2161	0.0153
0	0	1
0.6498	0.109	0.2413
0.8373	0.0514	0.1114
0.001	0.0323	0.9667
0.1659	0.8331	0.001
